loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_macro_f1,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.072,1.8753117206982545e-05,0.62,500,,,,,,,,,,,,,,
,,1.0,802,0.9789197444915771,0.5729881472239551,0.550824251068989,0.5729881472239551,0.4315668905772694,0.5412176223817634,489.6783,6.547,0.41,,,,,
0.9646,1.7506234413965088e-05,1.25,1000,,,,,,,,,,,,,,
0.86,1.625935162094763e-05,1.87,1500,,,,,,,,,,,,,,
,,2.0,1604,0.955509603023529,0.5782907049282595,0.596606312348719,0.5782907049282595,0.483278970457373,0.5716915746126902,537.5651,5.964,0.374,,,,,
0.6896,1.5012468827930176e-05,2.49,2000,,,,,,,,,,,,,,
,,3.0,2406,1.0702630281448364,0.5683094198378041,0.5712034827034512,0.5683094198378041,0.47715704252262303,0.5651306300888512,549.5563,5.834,0.366,,,,,
0.61,1.3765586034912719e-05,3.12,2500,,,,,,,,,,,,,,
0.4323,1.2518703241895263e-05,3.74,3000,,,,,,,,,,,,,,
,,4.0,3208,1.394487977027893,0.5480349344978166,0.5423547381224236,0.5480349344978166,0.459205086930347,0.5409594409963192,548.0429,5.85,0.367,,,,,
0.3221,1.1271820448877806e-05,4.36,3500,,,,,,,,,,,,,,
0.2825,1.002493765586035e-05,4.99,4000,,,,,,,,,,,,,,
,,5.0,4010,1.6200305223464966,0.566126013724267,0.5474181474104431,0.566126013724267,0.4524553373774147,0.5483443191830463,544.1666,5.892,0.369,,,,,
0.1849,8.778054862842892e-06,5.61,4500,,,,,,,,,,,,,,
,,6.0,4812,1.973430871963501,0.5648783530879601,0.5510305661378012,0.5648783530879601,0.4581414871219808,0.5529009157279847,553.6254,5.791,0.363,,,,,
0.1625,7.531172069825436e-06,6.23,5000,,,,,,,,,,,,,,
0.1478,6.284289276807981e-06,6.86,5500,,,,,,,,,,,,,,
,,7.0,5614,2.3494367599487305,0.5539613225202745,0.5431915341832255,0.5539613225202745,0.45358578399526095,0.5471052121479397,527.9971,6.072,0.381,,,,,
0.1136,5.037406483790524e-06,7.48,6000,,,,,,,,,,,,,,
,,8.0,6416,2.610734462738037,0.5573923892701186,0.5442716354760878,0.5573923892701186,0.4559099210983406,0.5478798880978365,523.5834,6.123,0.384,,,,,
0.0957,3.7905236907730676e-06,8.1,6500,,,,,,,,,,,,,,
0.0773,2.543640897755611e-06,8.73,7000,,,,,,,,,,,,,,
,,9.0,7218,2.8307833671569824,0.5577043044291953,0.5426696860299222,0.5577043044291953,0.4534601973497401,0.5466049018310791,514.9416,6.226,0.39,,,,,
0.0688,1.2967581047381548e-06,9.35,7500,,,,,,,,,,,,,,
0.0565,4.987531172069826e-08,9.98,8000,,,,,,,,,,,,,,
,,10.0,8020,2.8649613857269287,0.5552089831565814,0.5439156936335843,0.5552089831565814,0.45842930927009884,0.547790729022818,541.9334,5.916,0.371,,,,,
,,10.0,8020,,,,,,,,,,64920.995,1.975,0.124,4245731554713600.0,0.3828312762954883
