,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_macro_f1,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.0420985221862793,0.586073500967118,0.3434821485358544,0.586073500967118,0.1847560975609756,0.4331226116903335,109.5501,4.719,0.301,1.0,130,,,,,,,
1,1.0398614406585693,0.5764023210831721,0.5600155876096229,0.5764023210831721,0.23541644788483207,0.4733790412201622,109.9733,4.701,0.3,2.0,260,,,,,,,
2,1.0493323802947998,0.5802707930367504,0.5849708323193503,0.5802707930367504,0.30116182523036883,0.5163038217073878,110.9074,4.662,0.298,3.0,390,,,,,,,
3,,,,,,,,,,3.85,500,0.8607,1.230769230769231e-05,,,,,
4,1.186833381652832,0.5570599613152805,0.5581235078097283,0.5570599613152805,0.3660828338126422,0.5391931191302647,111.2288,4.648,0.297,4.0,520,,,,,,,
5,1.3757314682006836,0.5686653771760155,0.5460067858632034,0.5686653771760155,0.35669699561915136,0.5374159215042246,115.7227,4.468,0.285,5.0,650,,,,,,,
6,1.4321167469024658,0.5551257253384912,0.5419866217450494,0.5551257253384912,0.3947577339763752,0.543961074741382,111.174,4.65,0.297,6.0,780,,,,,,,
7,1.5154988765716553,0.5551257253384912,0.5352177436265257,0.5551257253384912,0.3896675597694736,0.5418559859526911,111.6635,4.63,0.296,7.0,910,,,,,,,
8,,,,,,,,,,7.69,1000,0.3375,4.615384615384616e-06,,,,,
9,1.5909438133239746,0.5686653771760155,0.5469259043576078,0.5686653771760155,0.38183625743035365,0.5455855142475158,111.9028,4.62,0.295,8.0,1040,,,,,,,
10,1.655123233795166,0.5570599613152805,0.5359540457353926,0.5570599613152805,0.3822952487227953,0.5414612063105608,112.6215,4.591,0.293,9.0,1170,,,,,,,
11,1.6822065114974976,0.562862669245648,0.5396927980195624,0.562862669245648,0.38623608398844994,0.5457649165112753,112.5303,4.594,0.293,10.0,1300,,,,,,,
12,,,,,,,,,,10.0,1300,,,15736.0253,1.313,0.083,684218517319680.0,0.49522470034085786
