,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_macro_f1,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.1034,1.8753117206982545e-05,0.62,500,,,,,,,,,,,,,,
1,,,1.0,802,1.0402849912643433,0.5455396132252027,0.4864740691292102,0.5455396132252027,0.26602365584128995,0.4578671447036262,435.8124,7.356,0.461,,,,,
2,1.0135,1.7506234413965088e-05,1.25,1000,,,,,,,,,,,,,,
3,0.9228,1.625935162094763e-05,1.87,1500,,,,,,,,,,,,,,
4,,,2.0,1604,1.016706109046936,0.533686837180287,0.5386716742374512,0.533686837180287,0.4168101505119305,0.5217144315431479,491.8514,6.518,0.409,,,,,
5,0.7762,1.5012468827930176e-05,2.49,2000,,,,,,,,,,,,,,
6,,,3.0,2406,1.1620465517044067,0.5383655645664379,0.5279486502928162,0.5383655645664379,0.43431403890224435,0.5301348487692048,588.2576,5.45,0.342,,,,,
7,0.6729,1.3765586034912719e-05,3.12,2500,,,,,,,,,,,,,,
8,0.4907,1.2518703241895263e-05,3.74,3000,,,,,,,,,,,,,,
9,,,4.0,3208,1.468275785446167,0.5205864004990642,0.5037033009230583,0.5205864004990642,0.4066726050999148,0.5037263650948516,488.9264,6.557,0.411,,,,,
10,0.3962,1.1271820448877806e-05,4.36,3500,,,,,,,,,,,,,,
11,0.3287,1.002493765586035e-05,4.99,4000,,,,,,,,,,,,,,
12,,,5.0,4010,1.748565912246704,0.5268247036805989,0.511838445732075,0.5268247036805989,0.4182481128534865,0.5159727474968526,456.4099,7.024,0.44,,,,,
13,0.2118,8.778054862842892e-06,5.61,4500,,,,,,,,,,,,,,
14,,,6.0,4812,2.065230131149292,0.5171553337492202,0.5109896657002009,0.5171553337492202,0.408541941437061,0.5133080601377287,462.2216,6.936,0.435,,,,,
15,0.1987,7.531172069825436e-06,6.23,5000,,,,,,,,,,,,,,
16,0.1654,6.284289276807981e-06,6.86,5500,,,,,,,,,,,,,,
17,,,7.0,5614,2.400453567504883,0.53243917654398,0.5140895482814026,0.53243917654398,0.41393890570425174,0.5183513799495223,478.6022,6.699,0.42,,,,,
18,0.1246,5.037406483790524e-06,7.48,6000,,,,,,,,,,,,,,
19,,,8.0,6416,2.741513967514038,0.5171553337492202,0.5121679715719165,0.5171553337492202,0.41555422479748283,0.5133696799974045,475.3408,6.745,0.423,,,,,
20,0.1155,3.7905236907730676e-06,8.1,6500,,,,,,,,,,,,,,
21,0.0867,2.543640897755611e-06,8.73,7000,,,,,,,,,,,,,,
22,,,9.0,7218,2.9481699466705322,0.5346225826575172,0.5158462502323508,0.5346225826575172,0.4138005353595711,0.5211894860175558,481.2578,6.662,0.418,,,,,
23,0.0799,1.2967581047381548e-06,9.35,7500,,,,,,,,,,,,,,
24,0.0618,4.987531172069826e-08,9.98,8000,,,,,,,,,,,,,,
25,,,10.0,8020,3.026484727859497,0.5299438552713662,0.5169642160847672,0.5299438552713662,0.4192480562735722,0.5218159397537753,474.9427,6.75,0.423,,,,,
26,,,10.0,8020,,,,,,,,,,62766.2574,2.042,0.128,4245731554713600.0,0.42083144922208904
